"2023-06-13 18:36:01 [restartedMain] INFO  c.k.m.p.ProductServiceApplication - Starting ProductServiceApplication using Java 17.0.6 with PID 11424 (D:\khube\project\practice\product-service\target\classes started by khubeb in D:\khube\project\practice\product-service)
""2023-06-13 18:46:05 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
""2023-06-13 18:46:05 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
""2023-06-13 18:46:05 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
""2023-06-13 18:46:05 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
""2023-06-13 18:46:06 [restartedMain] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.MySQL8Dialect, version: 8.0
""2023-06-13 18:46:06 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
""2023-06-13 18:46:06 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
""2023-06-13 18:46:07 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2023-06-13 18:46:07 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2023-06-13 18:46:07 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2023-06-13 18:46:09 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2023-06-13 18:46:09 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8087 (http) with context path '/product-service'
""2023-06-13 18:46:10 [restartedMain] INFO  c.k.m.p.ProductServiceApplication - Started ProductServiceApplication in 10.156 seconds (process running for 11.967)
""2023-06-13 18:46:16 [http-nio-8087-exec-1] INFO  o.a.c.c.C.[.[.[/product-service] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-06-13 18:46:16 [http-nio-8087-exec-1] INFO  c.k.m.p.controller.ProductController - ProductServiceImpl:getProducts request from client {} 102
""2023-06-13 18:46:16 [http-nio-8087-exec-1] INFO  c.k.m.p.s.impl.ProductServiceImpl - ProductServiceImpl:getProductById execution started....
""2023-06-13 18:46:39 [http-nio-8087-exec-6] INFO  c.k.m.p.controller.ProductController - ProductServiceImpl:getProducts request from client {} 102
""2023-06-13 18:46:39 [http-nio-8087-exec-6] INFO  c.k.m.p.s.impl.ProductServiceImpl - ProductServiceImpl:getProductById execution started....
""2023-06-13 18:47:08 [RMI TCP Connection(9)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2023-06-13 18:47:08 [RMI TCP Connection(9)-127.0.0.1] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
""2023-06-13 18:47:08 [RMI TCP Connection(9)-127.0.0.1] INFO  o.a.c.c.C.[.[.[/product-service] - Destroying Spring FrameworkServlet 'dispatcherServlet'
""2023-06-13 18:47:08 [RMI TCP Connection(9)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2023-06-13 18:47:08 [RMI TCP Connection(9)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2023-06-13 18:47:08 [RMI TCP Connection(9)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
"
